block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
42;sgemm;kernel.c:54-55;97.13;17.24;17.24;17.24;17.24;0;1;
39;sgemm;kernel.c:54-55;1.61;0.28;0.28;0.28;0.28;0;1;
38;sgemm;kernel.c:54-54;0.14;0.02;0.02;0.02;0.02;0;1;
81;sgemm;driver_mesure.c:16-17;0.14;0.02;0.02;0.02;0.02;0;1;
33;sgemm;kernel.c:54-54;0.11;0.02;0.02;0.02;0.02;0;1;
31;sgemm;kernel.c:53-53;0.08;0.01;0.01;0.01;0.01;0;1;
43;sgemm;kernel.c:54-54;0.08;0.01;0.01;0.01;0.01;0;1;
29;sgemm;kernel.c:54-54;0.06;0.01;0.01;0.01;0.01;0;1;
34;sgemm;kernel.c:54-54;0.06;0.01;0.01;0.01;0.01;0;1;
35;sgemm;kernel.c:54-54;0.03;0;0;0;0;0;1;
