block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
97;sgemm;kernel.c:54-55;92.28;17.94;;;;;;
105;sgemm;kernel.c:54-55;1.29;0.25;;;;;;
107;sgemm;kernel.c:54-55;1.29;0.25;;;;;;
101;sgemm;kernel.c:54-55;1.21;0.23;;;;;;
103;sgemm;kernel.c:54-55;1.13;0.22;;;;;;
99;sgemm;kernel.c:54-55;1.03;0.2;;;;;;
109;sgemm;kernel.c:54-55;0.82;0.16;;;;;;
96;sgemm;kernel.c:50-54;0.18;0.04;;;;;;
108;sgemm;kernel.c:50-50;0.18;0.03;;;;;;
100;sgemm;kernel.c:50-50;0.13;0.03;;;;;;
111;sgemm;kernel.c:53-53;0.1;0.02;;;;;;
104;sgemm;kernel.c:50-50;0.08;0.01;;;;;;
98;sgemm;kernel.c:50-50;0.05;0.01;;;;;;
102;sgemm;kernel.c:50-50;0.05;0.01;;;;;;
75;sgemm;;0.05;0.01;;;;;;
33;sgemm;;0.05;0.01;;;;;;
